2019-12-24 10:16:33.145 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['28', '发卡方-有卡', '现场消费业务', '联机退货(磁条)', '退货回退手续费', '5 预授权完成(请求)-成功-作为”隔日全额退货“的原交易2']--成功
2019-12-24 10:16:33.146 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['29', '发卡方-有卡', '现场消费业务', '联机退货(磁条)', '退货回退手续费', '6 联机退货-成功-隔日日切后，全额退货']--成功
2019-12-24 10:16:33.146 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['30', '发卡方-有卡', '有卡自助消费业务', '有卡自助余额查询（磁条）', '有卡自助余额查询', '1 余额查询-成功-刷卡输密']--成功
2019-12-24 10:16:33.146 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['31', '发卡方-有卡', '有卡自助消费业务', '有卡自助消费(磁条)', '有卡自助消费', '1 有卡自助消费-成功']--成功
2019-12-24 10:16:33.147 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['32', '发卡方-有卡', '有卡自助消费业务', '有卡自助预授权（磁条）', '有卡自助预授权', '1 有卡自助预授权-成功-作为“有卡自助预授权撤销”原交易']--成功
2019-12-24 10:16:33.147 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['33', '发卡方-有卡', '有卡自助消费业务', '有卡自助预授权（磁条）', '有卡自助预授权', '2 有卡自助预授权撤销-成功']--成功
2019-12-24 10:16:33.148 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['34', '发卡方-有卡', '有卡自助消费业务', '自助预授权完成（请求）（磁条）', '自助预授权完成(请求)', '1 有卡自助预授权-成功-作为“自助预授权完成（请求）撤销”的原交易1']--成功
2019-12-24 10:16:33.148 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['35', '发卡方-有卡', '有卡自助消费业务', '自助预授权完成（请求）（磁条）', '自助预授权完成(请求)', '2 有卡自助预授权完成（请求）-成功-作为“自助预授权完成（请求）撤销”的原交易2']--成功
2019-12-24 10:16:33.149 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['36', '发卡方-有卡', '有卡自助消费业务', '自助预授权完成（请求）（磁条）', '自助预授权完成(请求)', '3 有卡自助预授权完成（请求）撤销-成功']--成功
2019-12-24 10:16:33.149 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['37', '发卡方-有卡', '有卡自助消费业务', '自助预授权完成（通知）（磁条）', '自助预授权完成(通知)', '1 有卡自助预授权-成功-作为“自助预授权完成（通知）”原交易']--成功
2019-12-24 10:16:33.149 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['38', '发卡方-有卡', '有卡自助消费业务', '自助预授权完成（通知）（磁条）', '自助预授权完成(通知)', '2 自助预授权完成（通知）-成功']--成功
2019-12-24 10:16:33.150 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['39', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '联机退货', '1 有卡自助消费-成功-作为“当日部分退货”原交易']--成功
2019-12-24 10:16:33.150 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['40', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '联机退货', '2 联机退货-成功-当日部分退货']--成功
2019-12-24 10:16:33.150 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['41', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '联机退货', '3 有卡自助消费-成功-作为“全额退货”原交易']--成功
2019-12-24 10:16:33.151 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['42', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '联机退货', '4 联机退货-成功-隔日日切后，全额退货']--成功
2019-12-24 10:16:33.151 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['43', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '1 有卡自助预授权成功-作为”当日部分退货“的原交易1']--成功
2019-12-24 10:16:33.152 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['44', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '2 有卡自助预授权完成（请求）-成功-作为”当日部分退货“的原交易2']--成功
2019-12-24 10:16:33.152 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['45', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '3 联机退货-成功-当日部分退货']--成功
2019-12-24 10:16:33.152 | INFO     | UnionPay.common:read_case_list:128 - 读取案例：['46', '发卡方-有卡', '有卡自助消费业务', '联机退货（磁条）', '退货回退手续费', '4 联机退货-成功-当日多次退货']--成功
